idx;stop_epoch;window_length;n_filters;kernel_size;n_conv_layer;LSTM1_units;LSTM2_units;n_window;val_rmse;val_score;rmse_combined;score_combined;AIC;train_loss;mle_term;params_term;geno_list
0;15;2;3;2;1;100;100;29;13,98060799;990,1922607;14,02019352;994,1508138;395855,3043;232,1451263;86433,30429;309422;"[2; 3; 1; 5; 5]"
0;18;2;5;2;1;300;160;29;13,98311043;1043,905151;14,15630485;1061,224594;1731944,231;180,517868;82442,23088;1649502;"[2; 5; 1; 15; 8]"
0;20;2;3;2;1;140;120;29;13,98905659;1055,868896;14,0477413;1061,737368;586847,1517;194,4902496;83625,15169;503222;"[2; 3; 1; 7; 6]"
0;18;2;4;2;2;240;160;29;13,99078846;1317,919922;14,11815617;1330,656693;1273677,144;159,9532318;80523,14431;1193154;"[2; 4; 2; 12; 8]"
0;15;2;5;2;1;280;140;29;13,99501896;1118,508179;14,14483525;1133,489807;1498162,869;182,5617065;82620,86901;1415542;"[2; 5; 1; 14; 7]"
0;19;2;4;2;2;280;120;29;13,9950304;1141,335693;14,13007694;1154,840347;1350465,395;188,7689972;83151,39479;1267314;"[2; 4; 2; 14; 6]"
0;19;2;4;2;1;260;100;29;14,00098133;1085,944702;14,11600759;1097,447328;1150262,623;210,2392578;84860,62254;1065402;"[2; 4; 1; 13; 5]"
0;15;3;5;3;1;240;160;28;14,00717258;1100,881348;14,1534615;1115,510239;1462889,142;181,4864807;82527,14154;1380362;"[3; 5; 1; 12; 8]"
0;17;2;3;2;1;160;100;29;14,01408291;938,2600708;14,07495311;944,3470909;608702,0143;221,3815002;85680,01431;523022;"[2; 3; 1; 8; 5]"
0;15;2;3;2;1;200;160;29;14,01482296;1028,829346;14,11494639;1038,841689;1001234,342;180,1781464;82412,34219;918822;"[2; 3; 1; 10; 8]"
0;19;2;5;2;1;140;140;29;14,0182972;1083,150024;14,08965506;1090,285811;713578,6153;188,8311157;83156,61531;630422;"[2; 5; 1; 7; 7]"
0;15;2;5;2;1;260;100;29;14,0196209;1062,693604;14,14054073;1074,785587;1209198,323;217,7328033;85416,32348;1123782;"[2; 5; 1; 13; 5]"
0;19;4;9;4;1;280;200;27;14,02118969;1181,484985;14,28229484;1207,5955;2611051,47;163,6478119;80885,46977;2530166;"[4; 9; 1; 14; 10]"
0;19;2;6;2;1;300;120;29;14,02767754;1099,119385;14,18914476;1115,266107;1614672,234;197,0203705;83830,23418;1530842;"[2; 6; 1; 15; 6]"
0;15;2;4;2;2;160;160;29;14,0290575;1205,397217;14,11339616;1213,831082;843386,5664;164,3412933;80952,56643;762434;"[2; 4; 2; 8; 8]"
0;15;2;4;2;1;240;160;29;14,0303297;1175,17334;14,15773576;1187,913945;1274060,546;177,0957184;82138,54607;1191922;"[2; 4; 1; 12; 8]"
